product_name,product_src_image,product_price_new,product_price_old
Smart Tivi Sony 4K 55 inch KD-55X86J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_199_1.png",22.260.000 ₫,0
Smart Tivi Sony 4K 65 inch XR-65A90J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_197_2.png",75.740.000 ₫,0
Smart TV Samsung Neo QLED 8K 75 inch 75QN900B,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_74_4.jpg",164.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 50 inch 50BU8500,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_44_samsung_8500bu_-1_1.jpg",17.900.000 ₫,0
Smart TV Samsung QLED 55 inch 55Q80BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/2/42_1_15_1.jpg",32.900.000 ₫,0
Smart TV Samsung QLED 75 inch 75Q80BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/2/42_1_15_1_1.jpg",62.900.000 ₫,0
Smart TV Samsung Neo QLED 4K 55 inch 55QN85BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/8/28_1_43.jpg",38.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 43 inch 43BU8500,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_44_samsung_8500bu_-_9.jpg",14.400.000 ₫,0
Smart Tivi Sony 4K 43 inch KD-43X81DK VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_196_1.png",19.460.000 ₫,0
Smart Tivi Sony 4K 65 inch KD-65X85K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_192_1.png",35.000.000 ₫,0
Smart Tivi Sony Full HD 32 inch KD-32W830K,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/7/_/7_70_1.png",10.080.000 ₫,0
Smart Tivi Sony 4K 75 inch XR-75X90K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_184_2.png",56.700.000 ₫,0
Smart Tivi Sony 4K 65 inch KD-65A9F VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-65-inch-kd-65a9f-1.jpg",93.800.000 ₫,0
Smart Tivi Sony 4K 43 inch KD-43X80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-65-inch-kd-65x81dk-1_1.jpg",19.740.000 ₫,0
Smart Tivi Sony 4K 43 inch KD-43X75K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-43-inch-kd-43x75k-1.jpg",15.960.000 ₫,0
Smart TV Samsung Neo QLED 8K 85 inch 85QN900B,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_74_3.jpg",219.900.000 ₫,0
Smart Tivi Samsung QLED 65 inch 65Q70BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/q/a/qa65q70bakxxv_001_front1_black_2.png",32.900.000 ₫,0
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 55 inch 55LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black_2.png",24.200.000 ₫,31.900.000 ₫
Smart Tivi Samsung QLED 85 inch 85Q70BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/q/a/qa65q70bakxxv_001_front1_black.png",74.900.000 ₫,0
Smart Tivi Samsung QLED 75 inch 75Q70BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/q/a/qa65q70bakxxv_001_front1_black_1.png",51.900.000 ₫,0
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 32 inch 32LS03BB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black_4.png",17.900.000 ₫,0
Smart TV Samsung Neo QLED 4K 85 inch 85QN85BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/8/28_1_40.jpg",104.900.000 ₫,0
Smart TV Samsung QLED 50 inch 50Q60BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_74_6.jpg",19.400.000 ₫,0
Smart Tivi Sony 4K 75 inch KD-75X85K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_188_3.png",48.300.000 ₫,0
Smart Tivi Sony 4K 65 inch XR-65X90K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_195_1.png",39.900.000 ₫,0
Smart Tivi Sony 4K 55 inch XR-55X90K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_186_2.png",32.900.000 ₫,0
Smart Tivi Sony 4K 55 inch KD-55X85K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_193_2.png",29.260.000 ₫,0
Smart Tivi Sony 4K 55 inch XR-55A80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_193_1.png",52.640.000 ₫,0
Smart Tivi Sony 4K 50 inch KD-50X80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x80k-1.jpg",22.960.000 ₫,0
Smart Tivi Sony 4K 65 inch KD-65X81DK VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-65-inch-kd-65x81dk-1.jpg",30.380.000 ₫,0
Smart Tivi Sony 4K 65 inch XR-65X95J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-65-inch-xr-65x95j-1.jpg",48.300.000 ₫,0
